Word,Button
GOLF,L
GWOZ,M
LOSE,L
BELB,M
KIND,L
DARK,L
PREX,M
SMEX,M
EDEN,L
HAZE,L
REIG,M
SCYV,M
BACK,L
WEUC,M
FOUN,M
COLD,L
GWEF,M
ABLE,L
CHOP,L
FISH,R
ZILD,M
DUNK,L
RYSP,M
PENS,L
GHLI,M
OILY,L
FACE,L
JAWP,M
AWAY,L
PEBS,M
LAWN,L
TAUG,M
BABY,L
HIGH,L
SUSC,M
WOLF,R
THES,M
ARMS,L
ULDE,M
AXLE,L
YAMF,M
GNOL,M
JURB,M
CLEA,M
RAMP,L
BOYS,L
HINT,L
YERB,M
PROP,L
CORN,L
YEFE,M
SIMB,M
PLUG,L
MATH,L
ICON,L
NEAT,L
CYDS,M
MAZE,L
THIL,M
MOOD,L
KIEF,M
SALN,M
GALF,M
COOK,L
JILD,M
COSY,L
JADS,M
MASK,L
ZUPH,M
LOGS,L
MASH,L
FROG,R
ACHE,L
BAGS,L
EVED,M
CHOD,M
DIME,L
JEWV,M
DAMP,L
RARE,L
BOOK,L
EXIT,L
LOCK,L
BLAS,M
DUCK,R
CRIB,L
THUP,M
CHIN,L
BASE,L
TWIK,M
PYBE,M
SPIP,M
ENVY,L
SYTH,M
CASH,L
LELN,M
GLAV,M
BLIE,M
BANK,L
GOAT,R
PRUP,M
LEAK,L
VULS,M
HELP,L
FOLK,L
CREW,L
NANK,M
FEET,L
VAIR,M
VOCE,M
DUSK,L
ACID,L
KAID,M
COAL,L
EAFF,M
GUKS,M
KRIV,M
TWUM,M
GEAR,L
GEMS,L
HITH,M
NUIC,M
RURP,M
SOFS,M
ATOM,L
TYXT,M
LION,R
BOND,L
MARF,M
OIGN,M
LONG,L
HELN,M
DRYC,M
OOLL,M
BOOT,L
NAME,L
VEDD,M
PUIK,M
RAIN,L
FAST,L
